TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 1.45e-05 0.038115 0.0886109
2 8e-06 0.0754037 0.215201
3 1.67e-05 0.0259937 0.291401
4 1.84e-05 0.0182732 0.359851
5 2.3e-05 0.0195949 0.429907
6 5.05e-05 0.0358803 0.516062
7 4.54e-05 0.0217825 0.588084
8 4.1e-05 0.0178852 0.656225
9 5.15e-05 0.0161341 0.722591
10 6.16e-05 0.0259736 0.798891
11 6.79e-05 0.0220692 0.87119
12 4.95e-05 0.0179635 0.9394
13 6.98e-05 0.0187986 1.0086
14 8.41e-05 0.0177067 1.07656
15 0.0001052 0.0192017 1.14621
16 0.0003489 0.0518482 1.24877
17 8.14e-05 0.0157889 1.31478
18 0.0001165 0.0170568 1.38211
19 0.0001004 0.0159318 1.44835
20 0.0001101 0.0167481 1.51542
21 0.0001386 0.0181898 1.58397
22 0.0001545 0.0196724 1.65398
23 0.0001342 0.0155318 1.72004
24 0.0001371 0.0155685 1.78596
25 0.0001969 0.0143507 1.85082
26 0.0001773 0.015151 1.91644
27 0.0002321 0.0146418 1.98167
28 0.0002231 0.0147899 2.04688
29 0.0002613 0.0145136 2.11193
30 0.0002377 0.0166939 2.17902
31 0.0002041 0.0247659 2.2543
32 0.0007262 0.0386357 2.34405
33 0.0002374 0.0141492 2.40882
34 0.0002751 0.013932 2.4734
35 0.0002831 0.0163579 2.54033
36 0.0003414 0.0233502 2.6144
37 0.0002843 0.0137398 2.67864
38 0.000301101 0.0138116 2.74291
39 0.0003306 0.0133627 2.80675
40 0.0003361 0.0143366 2.87177
41 0.0003585 0.0152725 2.93779
42 0.0003595 0.0136038 3.00192
43 0.0004152 0.0149675 3.06766
44 0.0004798 0.0151457 3.13365
45 0.0004228 0.013991 3.19832
46 0.0004408 0.0279227 3.27697
47 0.0009596 0.023554 3.35165
48 0.0005642 0.0357149 3.43819
49 0.0017966 0.0435149 3.5339
50 0.0009685 0.0182733 3.60348
51 0.0007808 0.0186472 3.67318
52 0.0008184 0.019189 3.74341
53 0.0009015 0.0366064 3.83117
54 0.0022375 0.0296512 3.91332
55 0.0013824 0.0276439 3.99275
56 0.0027565 0.0332992 4.07904
57 0.0012298 0.0212624 4.15188
58 0.0009524 0.0154079 4.21844
59 0.001023 0.028334 4.29809
60 0.0031842 0.0336298 4.38535
61 0.003653 0.0348505 4.4741
62 0.002048 0.0300993 4.55656
63 0.0019831 0.0273369 4.63629
64 0.0036439 0.0488268 4.73922
65 0.0014929 0.0195265 4.81055
66 0.0012772 0.0165903 4.87867
67 0.00151 0.0192873 4.94969
68 0.0016302 0.0217477 5.0232
69 0.0010856 0.0171291 5.09165
70 0.0013448 0.0161351 5.15952
71 0.0018154 0.013795 5.22546
72 0.0013895 0.0140807 5.29124
73 0.0013895 0.0164416 5.35942
74 0.0016978 0.0368049 5.44823
75 0.0023045 0.0199593 5.52087
76 0.0012813 0.0137627 5.58646
77 0.0045162 0.0340876 5.6756
78 0.0054426 0.0415603 5.77296
79 0.0062247 0.0411096 5.87065
80 0.0022298 0.0374957 5.96054
81 0.0014498 0.0135681 6.02602
82 0.0016177 0.0142486 6.09223
83 0.0019069 0.0165179 6.16083
84 0.0018519 0.0163649 6.22944
85 0.0020416 0.0171005 6.29877
86 0.0016744 0.0137935 6.36458
87 0.0016569 0.0141335 6.43074
88 0.0017022 0.0186221 6.50144
89 0.0017647 0.0139317 6.56762
90 0.0048168 0.0304151 6.65325
91 0.0019374 0.0357311 6.74107
92 0.0025646 0.0198477 6.81384
93 0.007745 0.0298486 6.90179
94 0.0034806 0.0220219 6.97768
95 0.0021086 0.0139985 7.04409
96 0.0028346 0.0349721 7.13238
97 0.0021843 0.0258096 7.21072
98 0.0025043 0.0155132 7.27895
99 0.0028145 0.0316644 7.36382
100 0.003887 0.035422 7.45345
101 0.0090246 0.0456027 7.55845
102 0.0036116 0.0189436 7.63137
103 0.0026061 0.0151779 7.69944
104 0.0026437 0.0142413 7.76648
105 0.0026668 0.0146046 7.83391
106 0.0053904 0.0388027 7.92828
107 0.0037669 0.0367565 8.01897
108 0.0043231 0.0174524 8.09096
109 0.0043529 0.0178809 8.16357
110 0.0099662 0.0275269 8.25141
