TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
0 0.000173387 0.0299717 0.0305646
1 6.0233e-05 0.00711657 0.13811
2 9.1162e-05 0.0069433 0.245496
3 0.000136337 0.0068852 0.352918
4 0.00010094 0.00604549 0.459462
5 0.000112401 0.00612566 0.566084
6 0.000119856 0.0075804 0.674181
7 0.000110317 0.00611846 0.7809
8 0.000118954 0.00626037 0.887665
9 0.000139683 0.00617167 0.994347
10 0.000134102 0.00607384 1.10095
11 0.00014896 0.00611511 1.20759
12 0.000153729 0.00612464 1.31423
13 0.000140976 0.00652983 1.42124
14 0.000142147 0.00650576 1.52828
15 0.000143009 0.00653268 1.63535
16 0.000155833 0.00646155 1.74234
17 0.000124193 0.00658542 1.84943
18 0.000127179 0.00640589 1.95633
19 0.000125707 0.0066155 2.06346
20 0.000145664 0.00704851 2.17101
21 0.000128702 0.0068721 2.27837
22 0.000124224 0.00676004 2.38563
23 0.000120667 0.00715158 2.4932
24 0.000129634 0.00659254 2.60027
25 0.000128803 0.00678584 2.70757
26 0.000141436 0.00659612 2.8147
27 0.000128332 0.00677425 2.92197
28 0.000131657 0.00670466 3.02916
29 0.000133972 0.00684029 3.1365
30 0.000152497 0.00692991 3.24394
31 0.000141816 0.00668268 3.35113
32 0.000136357 0.00687725 3.4585
33 0.000147547 0.00673765 3.56574
34 0.000141186 0.00697496 3.67323
35 0.00013784 0.00627313 3.78003
36 0.00013842 0.00678877 3.88732
37 0.000142458 0.00683803 3.99468
38 0.000144091 0.00682931 4.10202
39 0.000147838 0.00643768 4.20895
40 0.000147688 0.00702351 4.31648
41 0.000186831 0.00644583 4.42344
42 0.000146636 0.00704445 4.53101
43 0.000163839 0.00661938 4.63815
44 0.000147717 0.00646945 4.74516
45 0.000158738 0.00660027 4.85228
46 0.000153899 0.00635314 4.95918
47 0.000156705 0.00628752 5.06599
48 0.000150573 0.00683982 5.17335
49 0.000157136 0.00693662 5.28081
50 0.000155312 0.0065757 5.38789
51 0.000158708 0.00621548 5.49463
52 0.000160963 0.00686306 5.60199
53 0.000165291 0.00648421 5.709
54 0.000164008 0.00629034 5.81582
55 0.000162145 0.00668309 5.92303
56 0.000161755 0.00677977 6.03033
57 0.000167565 0.00684536 6.13771
58 0.000165722 0.00675123 6.24497
59 0.00017007 0.00677934 6.35228
60 0.000197221 0.00646434 6.45931
61 0.000198303 0.00613155 6.56601
62 0.000216337 0.00622399 6.67283
63 0.000204965 0.00621894 6.77967
64 0.000167815 0.00637978 6.88659
65 0.000171372 0.0067377 6.99386
66 0.000174478 0.00657027 7.10095
67 0.000174749 0.00681986 7.20829
68 0.000174809 0.00635703 7.31519
69 0.000176222 0.00675196 7.4225
70 0.000188134 0.00679156 7.52985
71 0.000173306 0.00684562 7.63721
72 0.000168897 0.00678494 7.74455
73 0.000221857 0.0068195 7.85195
74 0.000163397 0.00675997 7.95924
75 0.000173466 0.0065436 8.06632
76 0.000165451 0.00659561 8.17345
77 0.000184457 0.00670915 8.28071
78 0.000162806 0.00628515 8.38751
79 0.000170541 0.00675954 8.4948
80 0.000170591 0.00679068 8.60213
81 0.000165892 0.00642771 8.70907
82 0.000188355 0.00616755 8.81583
83 0.000162857 0.00649944 8.92286
84 0.000160773 0.00618331 9.02957
85 0.000171332 0.0067544 9.13685
86 0.000166072 0.00625928 9.24364
87 0.000163918 0.00678657 9.35093
88 0.000169088 0.00635917 9.45781
89 0.000160352 0.00652292 9.56485
90 0.000155312 0.00672959 9.6721
91 0.000199325 0.0062441 9.7789
92 0.00019143 0.00613717 9.8856
93 0.000194606 0.00608943 9.9923
94 0.000191049 0.00613927 10.0991
95 0.00017513 0.00653677 10.2061
96 0.000198874 0.00609604 10.3128
97 0.000189276 0.00617052 10.4196
98 0.000208512 0.0061986 10.5264
99 0.000205517 0.00619039 10.6332
100 0.000214303 0.00626718 10.7401
101 0.0002078 0.00621343 10.8469
102 0.000189397 0.00612198 10.9536
103 0.000190589 0.00614354 11.0603
104 0.000190308 0.00626323 11.1672
105 0.000188955 0.00610388 11.2739
106 0.0001862 0.00603829 11.3805
107 0.000201769 0.00616481 11.4872
108 0.000190889 0.00607572 11.5939
109 0.000198623 0.006138 11.7006
110 0.000197782 0.0063199 11.8075
111 0.000199556 0.00627845 11.9143
112 0.000198734 0.00611646 12.021
113 0.000190519 0.00613512 12.1277
114 0.000188635 0.00617181 12.2344
115 0.000222718 0.00611889 12.3411
116 0.000208773 0.00628772 12.4479
117 0.000200266 0.00611468 12.5546
118 0.000167004 0.0063512 12.6615
119 0.000214113 0.00650946 12.7686
120 0.000208302 0.00611616 12.8753
121 0.00019101 0.00621554 12.9821
122 0.000216918 0.00624147 13.089
123 0.000194826 0.00607682 13.1956
124 0.000188866 0.00617801 13.3024
125 0.000194065 0.00605951 13.409
126 0.000189737 0.0060046 13.5156
127 0.000174268 0.00728303 13.6234
128 0.000158267 0.00685808 13.7308
129 0.000200247 0.00653341 13.8379
130 0.000203824 0.00651204 13.9449
131 0.000202892 0.00647675 14.052
132 0.000190739 0.00666879 14.1592
133 0.000190238 0.00970797 14.2695
134 0.000174909 0.00722484 14.3772
135 0.000199015 0.00702921 14.4848
