TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 3.44e-05 0.115612 0.167471
2 1.01e-05 0.0140145 0.231731
3 1.78e-05 0.018852 0.300841
4 3.3e-05 0.0210717 0.372158
5 2.09e-05 0.0147285 0.437159
6 2.18e-05 0.0111918 0.498584
7 3.51e-05 0.0170017 0.565835
8 8.05e-05 0.0134396 0.629563
9 4.77e-05 0.020551 0.700398
10 6.59e-05 0.0150865 0.765767
11 9.02e-05 0.0176337 0.833714
12 9.56e-05 0.0118822 0.895904
13 8.24e-05 0.0128804 0.959052
14 0.0001146 0.0116327 1.02107
15 0.0001053 0.0137585 1.08519
16 0.0001271 0.0148206 1.15038
17 0.0001158 0.0130076 1.21375
18 0.0001308 0.0121253 1.27619
19 0.0001687 0.0220343 1.34859
20 0.0001969 0.0154047 1.41439
21 0.000164 0.0136103 1.47836
22 0.0002025 0.0166994 1.54546
23 0.0001934 0.0142489 1.6101
24 0.0002495 0.0146525 1.67525
25 0.0002339 0.0142192 1.73989
26 0.0002863 0.0185526 1.80892
27 0.0002021 0.0079262 1.86758
28 0.0009955 0.0215011 1.9405
29 0.0003845 0.0194159 2.01056
30 0.000342 0.0195217 2.0806
31 0.0004574 0.0192914 2.15057
32 0.0003779 0.0231551 2.22438
33 0.0004097 0.0211571 2.29694
34 0.0004763 0.0181511 2.36587
35 0.0004642 0.0221046 2.43894
36 0.000601 0.0214752 2.51122
37 0.0004224 0.0222751 2.58435
38 0.0006853 0.0251644 2.66059
39 0.000524 0.0120323 2.72339
40 0.0006793 0.0153249 2.78958
41 0.0007324 0.0124329 2.85296
42 0.0006142 0.0454074 2.94924
43 0.0007837 0.0171042 3.01784
44 0.0006248 0.0200143 3.08867
45 0.0009337 0.0133937 3.15321
46 0.0006525 0.0179652 3.22205
47 0.000597 0.0132407 3.28613
48 0.0008121 0.0183614 3.35556
49 0.0009583 0.014047 3.42082
50 0.001121 0.0122347 3.48438
51 0.001034 0.0105513 3.54648
52 0.0012789 0.0130143 3.61095
53 0.0007485 0.0139897 3.67586
54 0.0008814 0.0151769 3.74212
55 0.0013386 0.0142044 3.80791
56 0.0012128 0.0129866 3.87235
57 0.001541 0.0220294 3.94617
58 0.0014816 0.0138148 4.01167
59 0.001252 0.0119532 4.07506
