TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 0.0252712 0.117069 0.193801
2 0.0001757 0.0229713 0.267166
3 0.0001355 0.0198892 0.337413
4 0.000248 0.020407 0.40847
5 0.0002525 0.0220185 0.480989
6 0.0002263 0.0240985 0.555732
7 0.0001627 0.0160596 0.62227
8 0.0002522 0.0194726 0.692253
9 0.0002381 0.0203176 0.763024
10 0.0013107 0.0264456 0.840953
11 0.0002793 0.0162799 0.90797
12 0.000208 0.0192794 0.977797
13 0.0002281 0.0163509 1.04472
14 0.0001918 0.0173988 1.11258
15 0.0002283 0.0166288 1.17967
16 0.0001996 0.0165597 1.24682
17 0.0001909 0.0171282 1.31453
18 0.0002265 0.017005 1.38196
19 0.0001909 0.0159106 1.44841
20 0.0001917 0.031002 1.52998
21 0.0001976 0.0164101 1.59696
22 0.0002597 0.0155295 1.66291
23 0.0001956 0.0182637 1.73175
24 0.0002637 0.0171503 1.79946
25 0.0009458 0.0226867 1.87329
26 0.0001789 0.0206153 1.9443
27 0.000203 0.024447 2.0191
28 0.0001875 0.0237398 2.09323
29 0.0002201 0.0191779 2.16279
30 0.0001805 0.0169994 2.2302
31 0.0002344 0.0203877 2.30106
32 0.0002632 0.0259238 2.37744
33 0.0017291 0.018764 2.44827
34 0.0002789 0.0177793 2.51669
35 0.000214 0.0174671 2.58462
36 0.000401 0.0192508 2.65454
37 0.0191585 0.0256237 2.74956
38 0.0002357 0.017339 2.81729
39 0.0008228 0.0191683 2.88758
40 0.0003154 0.0197925 2.95802
41 0.0002258 0.0195996 3.0282
42 0.0002654 0.0250829 3.10387
43 0.0002765 0.0159184 3.17054
44 0.0006419 0.0419401 3.26342
45 0.0002955 0.025384 3.3395
46 0.0002203 0.0214114 3.41149
47 0.0005345 0.031325 3.49362
48 0.0003283 0.0236069 3.56778
49 0.000483 0.0178147 3.63624
50 0.0002359 0.0191111 3.70576
51 0.000207 0.0216288 3.77778
52 0.00024 0.0250308 3.85324
53 0.000268 0.0220181 3.9257
54 0.0002459 0.0232308 3.99933
55 0.000275 0.0278184 4.07761
56 0.0002805 0.0247658 4.15292
57 0.0076941 0.0221175 4.233
58 0.0013599 0.0221869 4.30782
59 0.0002731 0.0211452 4.37955
60 0.0002874 0.0236098 4.45367
61 0.0002005 0.0193823 4.52368
62 0.0002673 0.0262578 4.60041
63 0.0006917 0.0184804 4.67056
64 0.0094214 0.0358444 4.76616
65 0.0113882 0.0216793 4.84946
66 0.0002979 0.0263845 4.92636
67 0.0003004 0.0279159 5.00481
68 0.0003078 0.0312489 5.08697
69 0.0002825 0.0294821 5.16692
70 0.0093298 0.0365999 5.26301
71 0.0002249 0.021726 5.33514
72 0.0002787 0.0219469 5.40769
73 0.0002536 0.0251279 5.48325
74 0.0003023 0.0266416 5.56052
75 0.0007734 0.0237995 5.63528
76 0.0002226 0.0227765 5.70848
77 0.000286 0.019473 5.77839
78 0.0145247 0.0266878 5.86978
79 0.0002589 0.0176598 5.93802
