TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 4.74e-05 0.181359 0.23279
2 1.83e-05 0.0392286 0.322227
3 2.03e-05 0.0370306 0.409489
4 2.85e-05 0.0381075 0.497863
5 2.27e-05 0.0376384 0.585807
6 5.53e-05 0.0366656 0.672802
7 2.78e-05 0.0305025 0.753573
8 3.13e-05 0.0273353 0.831138
9 3.32e-05 0.0286015 0.91007
10 4.02e-05 0.0258842 0.986203
11 4.13e-05 0.0255392 1.06203
12 4.51e-05 0.0258425 1.13827
13 5.12e-05 0.0250524 1.21366
14 0.0001028 0.0575425 1.32153
15 7.82e-05 0.0261135 1.39815
16 0.0001461 0.0303624 1.47902
17 7.05e-05 0.0281262 1.55755
18 7.81e-05 0.0248798 1.63287
19 8.43e-05 0.0270064 1.71037
20 9.18e-05 0.0443337 1.80506
21 0.0002449 0.0454336 1.901
22 0.0003185 0.0465323 1.99823
23 0.0001279 0.0267067 2.0753
24 0.0001249 0.0253303 2.15098
25 0.0001912 0.0253846 2.22673
26 0.0001333 0.025152 2.30228
27 0.0002284 0.0254323 2.37831
28 0.0001502 0.0242916 2.45293
29 0.0002201 0.0270331 2.5305
30 0.000181699 0.0257398 2.6067
31 0.000196 0.0442534 2.70138
32 0.0002391 0.05045 2.80256
33 0.0002054 0.0248081 2.87793
34 0.0002147 0.0251486 2.95358
35 0.0006838 0.0400635 3.04479
36 0.0003377 0.0255641 3.12105
37 0.0002808 0.044332 3.21606
38 0.0005957 0.049963 3.31693
39 0.0010231 0.059404 3.42766
40 0.0007148 0.0424383 3.52123
41 0.0002797 0.0248344 3.59669
42 0.0003014 0.0256301 3.673
43 0.0003072 0.0252086 3.74886
44 0.000315 0.0445892 3.8441
45 0.0004512 0.0248961 3.9196
46 0.0003376 0.0252444 3.99557
47 0.0005123 0.0297061 4.07594
48 0.000393 0.0413843 4.16793
49 0.0010166 0.0272378 4.24659
50 0.0009818 0.0422591 4.34013
51 0.0015401 0.0526835 4.44481
52 0.001086 0.0452501 4.54151
53 0.0004683 0.0253618 4.61754
54 0.0008073 0.043922 4.71263
55 0.0006037 0.0455329 4.80906
56 0.0009557 0.0387485 4.89917
57 0.0005378 0.0278103 4.97773
58 0.000649 0.0309453 5.0595
59 0.0005894 0.0254517 5.13575
60 0.0005331 0.0251576 5.21166
61 0.0005547 0.0248787 5.2875
62 0.0006775 0.0261335 5.36463
63 0.0006098 0.026867 5.44248
64 0.000637 0.0289082 5.52242
65 0.0006192 0.0264927 5.59993
66 0.001049 0.0254768 5.67685
67 0.0006864 0.0247661 5.75257
68 0.0007376 0.0249094 5.82859
69 0.0007316 0.0245405 5.90423
70 0.0008981 0.0250191 5.98057
71 0.0008126 0.0299577 6.06169
72 0.0007892 0.0620801 6.17477
73 0.0008992 0.0250093 6.25089
74 0.0015717 0.0250675 6.32791
75 0.0009284 0.024769 6.40394
76 0.0009869 0.0253235 6.48056
77 0.0009671 0.0271113 6.55909
78 0.0009775 0.0249225 6.63522
79 0.0024836 0.0454202 6.73347
80 0.0033747 0.0360508 6.8233
81 0.0010568 0.0255565 6.90017
82 0.0021757 0.0260804 6.9787
83 0.0022085 0.0434161 7.07473
84 0.0013363 0.0445807 7.17097
85 0.0014196 0.0358424 7.25859
86 0.0011871 0.0259021 7.33594
87 0.0010503 0.0261942 7.41368
88 0.0011435 0.0281423 7.49338
89 0.0012614 0.0264312 7.57143
90 0.0011901 0.0263293 7.64915
91 0.0016889 0.0290764 7.73026
92 0.0013086 0.0278166 7.80961
93 0.0013054 0.0263809 7.88758
94 0.0013237 0.0448892 7.98397
95 0.002479 0.0261137 8.06276
96 0.0013538 0.0326812 8.14723
97 0.0013869 0.0294489 8.22844
98 0.0014695 0.0273575 8.3074
99 0.0013452 0.0264869 8.38543
100 0.0015599 0.0264308 8.46366
101 0.0015452 0.0277048 8.54326
102 0.0017645 0.0276961 8.62308
103 0.0018297 0.0260431 8.70115
104 0.0021402 0.0261251 8.77981
105 0.0018241 0.0279888 8.86002
106 0.001908 0.0270546 8.93933
107 0.0018606 0.0266276 9.01807
108 0.0049983 0.0529361 9.12633
109 0.0037808 0.0392407 9.2198
110 0.0020982 0.0261271 9.29836
111 0.002721 0.0266787 9.37807
112 0.0044461 0.0339482 9.46679
113 0.005881 0.0508677 9.57378
114 0.0044087 0.0554569 9.68384
115 0.003709 0.0260152 9.76374
116 0.0024871 0.0279124 9.84454
117 0.0024729 0.0270655 9.92436
118 0.0047708 0.0468179 10.0262
119 0.0038713 0.0273584 10.1078
120 0.0027562 0.042941 10.2037
121 0.0044678 0.0583579 10.3167
122 0.0042032 0.0264579 10.3976
123 0.004831 0.0266669 10.4795
124 0.0030393 0.0274939 10.5604
125 0.0029863 0.0270009 10.6408
126 0.0059251 0.0484656 10.7455
127 0.003311 0.030494 10.8295
128 0.0031723 0.0324866 10.9153
129 0.0051736 0.026469 10.9973
130 0.0054187 0.0258518 11.0788
131 0.0036573 0.0275153 11.1602
132 0.0034913 0.0281122 11.2422
133 0.0036028 0.0276034 11.3237
134 0.00368 0.0263348 11.404
135 0.0038978 0.0281674 11.4901
136 0.007095 0.0515187 11.5989
137 0.0064147 0.0326544 11.6881
138 0.0035885 0.0272491 11.7693
139 0.0039973 0.0264032 11.8502
140 0.0053917 0.0264786 11.9324
141 0.0059173 0.0259474 12.0145
142 0.0124025 0.05456 12.1318
143 0.0082804 0.0408046 12.2313
144 0.006058 0.0260143 12.3138
145 0.0079534 0.0281882 12.4002
146 0.0058801 0.0278074 12.484
147 0.0056099 0.0262973 12.5663
148 0.0058547 0.0429285 12.6655
149 0.012156 0.0381799 12.7662
150 0.010471 0.0333277 12.8604
151 0.0044162 0.0275265 12.9427
152 0.0043162 0.0279128 13.0252
153 0.0043981 0.0282197 13.1082
