TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 0.0001674 0.16714 0.218789
2 6.17e-05 0.0517716 0.320788
3 5.45e-05 0.0352638 0.406463
4 0.000137701 0.0488909 0.505654
5 0.0001033 0.0375623 0.593628
6 0.0002681 0.056525 0.700786
7 0.0001056 0.0356785 0.786786
8 9.45e-05 0.0338091 0.871036
9 0.0001274 0.0322132 0.953725
10 0.0001353 0.0284092 1.03263
11 0.0001206 0.0264333 1.10958
12 9.16e-05 0.0294267 1.18957
13 0.0002186 0.0465693 1.28672
14 0.0002136 0.0595765 1.39689
15 0.0001182 0.0552317 1.50259
16 0.0001637 0.0273425 1.58027
17 0.0001396 0.0280358 1.65879
18 0.000158801 0.0278856 1.73717
19 0.0002448 0.0446346 1.83223
20 0.0001415 0.0259605 1.90867
21 0.0002188 0.0276407 1.98675
22 0.0001686 0.0259939 2.06316
23 0.000166 0.0257326 2.13938
24 0.000325 0.0430329 2.23299
25 0.0001899 0.0273513 2.31072
26 0.0002292 0.0266675 2.38781
27 0.0002058 0.0251118 2.46353
28 0.0002977 0.0263179 2.54049
29 0.0003567 0.0491457 2.64031
30 0.0004487 0.0552573 2.74621
31 0.0002235 0.0413071 2.83799
32 0.0002599 0.0349178 2.9235
33 0.0002348 0.0336365 3.00767
34 0.0002214 0.0385844 3.09683
35 0.0003427 0.0296408 3.1771
36 0.0006037 0.0444796 3.27249
37 0.0006372 0.056426 3.37991
38 0.000311 0.0341049 3.46468
39 0.0002837 0.031161 3.54632
40 0.0003167 0.0257259 3.62267
41 0.0005457 0.0404287 3.71387
42 0.00032 0.0302251 3.79468
43 0.0004903 0.0269331 3.87249
44 0.0003553 0.0251831 3.94823
45 0.0003482 0.0417886 4.04073
46 0.0003825 0.0271311 4.1186
47 0.0004466 0.0272073 4.1966
48 0.000397001 0.0265952 4.2738
49 0.000379 0.0275201 4.35189
50 0.0004032 0.0266151 4.42915
51 0.0010042 0.0452841 4.52591
52 0.0004297 0.0281923 4.60472
53 0.0004414 0.0256772 4.68122
54 0.0004293 0.0256443 4.75769
55 0.000439 0.0463158 4.85473
56 0.0009013 0.0456924 4.95176
57 0.0005556 0.0304766 5.03313
58 0.000976301 0.0571572 5.14163
59 0.000520801 0.0274325 5.21995
60 0.0004996 0.0257861 5.29639
61 0.0004449 0.0262832 5.3735
62 0.0005565 0.0270612 5.45143
63 0.0010518 0.0399287 5.54269
64 0.001377 0.0458829 5.64032
65 0.0005811 0.0276381 5.71907
66 0.0010905 0.0420919 5.81248
67 0.0006665 0.026397 5.88983
68 0.0011229 0.0469561 5.98828
69 0.0008418 0.043078 6.08265
70 0.0006995 0.0266133 6.16031
71 0.0008759 0.0284625 6.23998
72 0.0012349 0.0376977 6.32916
73 0.0018591 0.0384458 6.41994
74 0.0007313 0.0255736 6.49642
75 0.0007059 0.0255647 6.57283
76 0.0009458 0.0271958 6.65135
77 0.000831701 0.0254859 6.72789
78 0.0013109 0.0265081 6.80591
79 0.0014786 0.0544221 6.91207
80 0.0010393 0.0260902 6.98953
81 0.0016175 0.0576557 7.09906
82 0.0018425 0.0439148 7.19508
83 0.0013493 0.0256804 7.27248
84 0.0009363 0.0274316 7.35123
85 0.0008919 0.0272711 7.42962
86 0.0016622 0.0434017 7.52506
87 0.0010036 0.0298236 7.60624
88 0.000937301 0.0274418 7.68485
89 0.0010942 0.0265309 7.76284
90 0.0008871 0.0262686 7.84035
91 0.0010738 0.0283985 7.92003
92 0.0011103 0.025927 7.99743
93 0.0010578 0.0257844 8.07457
94 0.0021295 0.0566941 8.18363
95 0.0021377 0.0371857 8.27315
96 0.0010933 0.0333338 8.35798
97 0.0011751 0.0283899 8.43791
98 0.0014295 0.028244 8.51794
99 0.0012208 0.0259905 8.59537
100 0.0017138 0.0273458 8.67485
101 0.0012409 0.0306336 8.7571
102 0.001359 0.0277669 8.83647
103 0.0013476 0.0256907 8.91384
104 0.0013688 0.0261779 8.99169
105 0.0028636 0.0413925 9.08628
106 0.002621 0.0377996 9.17706
107 0.0028313 0.0286421 9.25886
108 0.0022044 0.0272501 9.33865
109 0.0029156 0.0484431 9.44038
110 0.0035933 0.0431901 9.53745
111 0.0038962 0.0467199 9.63849
112 0.0018215 0.0271377 9.71767
113 0.0019538 0.02828 9.79807
114 0.0018563 0.0264568 9.8768
115 0.0035988 0.0264827 9.95723
116 0.0021219 0.0299211 10.0396
117 0.0037 0.0452184 10.1388
118 0.0039465 0.0565891 10.2496
119 0.0038432 0.049484 10.3533
120 0.0021229 0.0269241 10.4325
121 0.003803 0.0400198 10.5267
122 0.0040186 0.0293801 10.6105
123 0.0040119 0.0323453 10.6972
124 0.0023238 0.0263848 10.7763
