TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
417 1.19e-05 0.21184 0.263937
418 5.7e-06 0.03055 0.344741
419 2.5e-05 0.0383274 0.433309
420 1.57e-05 0.0371386 0.520694
421 1.62e-05 0.0336967 0.604604
422 2.96e-05 0.0322914 0.687073
423 2.18e-05 0.0267748 0.764213
424 2.68e-05 0.0270305 0.841572
425 7.06e-05 0.0345527 0.926521
426 4.17e-05 0.0329808 1.00977
427 4.64e-05 0.0293782 1.08939
428 4.62e-05 0.0267078 1.16652
429 5.46e-05 0.0255995 1.24254
430 5.74e-05 0.0276049 1.3206
431 6.93e-05 0.0257682 1.39681
432 0.0001102 0.0255592 1.4727
433 7.77e-05 0.0286696 1.5518
434 8.02e-05 0.0254142 1.6275
435 0.0001511 0.0263725 1.70441
436 9.03e-05 0.0318058 1.78654
437 0.0004468 0.0432334 1.88049
438 0.0001068 0.0268905 1.95776
439 0.000119 0.0294004 2.03763
440 0.0001748 0.0270315 2.11519
441 0.0001385 0.0475075 2.2132
442 0.0001569 0.0271129 2.29065
443 0.000270601 0.0984616 2.43956
444 0.000268901 0.114586 2.60459
445 0.000263201 0.100172 2.75524
446 0.000334401 0.0524889 2.8582
447 0.000189801 0.0398459 2.94838
448 0.0002378 0.0363698 3.03519
449 0.000257601 0.029807 3.11558
450 0.000310801 0.035012 3.20114
451 0.000330701 0.0292967 3.28112
452 0.000270601 0.0250182 3.35683
453 0.000302801 0.0262964 3.43378
454 0.000355001 0.0249164 3.50935
455 0.000356801 0.0281009 3.58801
456 0.000346802 0.024757 3.66333
457 0.000371701 0.0255422 3.73956
458 0.000405301 0.025373 3.8157
459 0.000433202 0.0274319 3.89378
460 0.000807302 0.0266511 3.97145
461 0.000476801 0.0517511 4.07396
462 0.0013379 0.0492087 4.175
463 0.000491001 0.0270137 4.25285
464 0.000500202 0.0250087 4.32861
465 0.000593102 0.0264329 4.40598
466 0.000536402 0.0247499 4.48146
467 0.000550102 0.0475321 4.57979
468 0.00152531 0.0466044 4.6782
469 0.0010718 0.040963 4.7704
470 0.000608302 0.0365281 4.85774
471 0.000747702 0.0393007 4.94795
472 0.000808003 0.0312154 5.03028
473 0.000826002 0.0309663 5.11228
474 0.000955603 0.0292024 5.19284
475 0.000926603 0.0264246 5.27058
476 0.000769102 0.0266721 5.34843
477 0.000849303 0.0416651 5.44125
478 0.000838902 0.044225 5.53679
479 0.000797703 0.0247968 5.61276
480 0.000880003 0.0344788 5.69857
481 0.00180701 0.0369619 5.78756
482 0.000921803 0.0264337 5.86522
483 0.000944903 0.0409089 5.95735
484 0.00185651 0.0548056 6.06427
485 0.000945703 0.027104 6.14268
486 0.00135501 0.0298654 6.22412
487 0.0014091 0.0266809 6.30258
488 0.0013882 0.0264001 6.3806
489 0.0012065 0.0257096 6.45789
490 0.0010832 0.0269927 6.53616
491 0.00133131 0.0275621 6.61527
492 0.0012535 0.0254098 6.69213
493 0.0011866 0.0267683 6.77043
494 0.001202 0.0255917 6.8476
495 0.0012933 0.0364727 6.93562
496 0.0014364 0.0251501 7.01239
497 0.0012724 0.0254807 7.08956
498 0.0013088 0.0266142 7.16786
499 0.001416 0.0284806 7.24816
500 0.003088 0.0570191 7.35864
501 0.0015648 0.0274394 7.43803
502 0.0014377 0.0257096 7.51551
503 0.0020919 0.0410708 7.60892
504 0.00257 0.0257715 7.68765
505 0.0015876 0.0432878 7.78286
506 0.0015507 0.041743 7.87642
507 0.0064416 0.0464832 7.97974
508 0.0017939 0.0251821 8.0569
509 0.0016712 0.0275297 8.13646
510 0.0018484 0.0247598 8.21323
511 0.0017181 0.0259051 8.29105
512 0.0017798 0.0374196 8.38063
513 0.0018137 0.0257027 8.45849
514 0.0023919 0.0257494 8.53693
515 0.0036962 0.0393494 8.63021
516 0.0038059 0.0388025 8.72316
517 0.0044608 0.0519127 8.82974
518 0.0019557 0.0407074 8.92259
519 0.0020599 0.0281097 9.00314
520 0.0020652 0.0261271 9.08168
521 0.0021195 0.0254318 9.15957
522 0.0032321 0.0256768 9.23885
523 0.0021014 0.0269123 9.31804
524 0.0021679 0.0248759 9.3953
