TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
6 0.0013378 0.413996 0.418283
7 7.4e-06 0.04991 0.468561
8 1.68e-05 0.0671079 0.535754
9 2.49e-05 0.0645438 0.600398
10 3.88e-05 0.0575675 0.658087
11 2.9e-05 0.062786 0.720951
12 5.06e-05 0.0526099 0.773681
13 4.05e-05 0.0633206 0.837105
14 7.62e-05 0.0568314 0.894087
15 0.000143 0.0575863 0.952023
16 0.0001024 0.0534597 1.00566
17 8.43e-05 0.0552019 1.06101
18 0.0001458 0.0545487 1.11579
19 0.0001638 0.0518514 1.16792
20 0.0001697 0.053898 1.22207
21 0.0001361 0.0557198 1.278
22 0.0001547 0.0584536 1.33668
23 0.0001735 0.0540056 1.39097
24 0.0002151 0.0754761 1.46674
25 0.0004186 0.0496557 1.51694
26 0.0002024 0.0419899 1.55918
27 0.000226 0.0482018 1.60769
28 0.0001799 0.0465356 1.65446
29 0.0002736 0.0475905 1.7024
30 0.000353 0.042987 1.74581
31 0.0002046 0.0360299 1.78214
32 0.000223 0.0445133 1.82698
33 0.0003903 0.0412797 1.86873
34 0.0003598 0.0364535 1.90562
35 0.0003063 0.0355759 1.94156
36 0.0002705 0.0356677 1.97756
37 0.0003497 0.0360638 2.01406
38 0.0004224 0.0354044 2.04997
39 0.0003528 0.042605 2.09302
40 0.0003878 0.0365052 2.12997
41 0.0004336 0.0407322 2.17126
42 0.000381 0.0362027 2.20791
43 0.000412 0.0370394 2.24542
44 0.0004064 0.0373857 2.28328
45 0.0004243 0.0366709 2.32045
46 0.0005305 0.0364731 2.35752
47 0.0004499 0.0417164 2.39978
48 0.000452 0.0384373 2.43873
49 0.0004999 0.0369513 2.47624
50 0.0004928 0.0369469 2.51374
51 0.000617 0.0368696 2.55131
52 0.0005311 0.0368378 2.58873
53 0.0005177 0.0371562 2.62646
54 0.0006936 0.0373267 2.66455
55 0.0005813 0.0369943 2.70218
56 0.0005914 0.0374977 2.74033
57 0.0006066 0.0367767 2.77777
58 0.0006436 0.0368199 2.81529
59 0.00062 0.0370263 2.853
60 0.000622 0.0355743 2.88926
61 0.0010407 0.0400119 2.93038
62 0.0007946 0.0365164 2.96776
63 0.00075 0.03612 3.00469
64 0.0007303 0.0431857 3.0487
65 0.0007443 0.0385624 3.08807
66 0.0009072 0.036805 3.12584
67 0.0008635 0.0365843 3.16346
68 0.000863399 0.0358073 3.2002
69 0.000835 0.0361824 3.23727
70 0.0008876 0.0357094 3.27392
71 0.0008634 0.0368338 3.31168
72 0.0009231 0.0361813 3.34884
73 0.0009688 0.0478803 3.39775
74 0.00102 0.0474217 3.44626
75 0.0009767 0.0364852 3.48377
76 0.0014298 0.0364814 3.52174
77 0.0010695 0.0368881 3.55976
78 0.0011627 0.0363434 3.59735
79 0.0012199 0.0361639 3.63481
80 0.0012619 0.0371656 3.67331
81 0.0012246 0.0366745 3.71131
82 0.0012914 0.0419764 3.75466
83 0.0017048 0.0373471 3.79379
84 0.0012809 0.0368944 3.83218
85 0.001306 0.0368788 3.87043
86 0.0013825 0.0359919 3.90786
87 0.0013892 0.0393663 3.94867
88 0.0013993 0.036625 3.98675
89 0.0013999 0.0367557 4.02496
90 0.0015592 0.037 4.06358
91 0.0015089 0.0360169 4.10116
92 0.0016592 0.0357053 4.13858
93 0.0015637 0.0366574 4.17686
94 0.0016132 0.0361705 4.21473
95 0.0016471 0.0389393 4.25537
96 0.001861 0.0448531 4.30219
97 0.0016794 0.0400185 4.34396
98 0.0017364 0.0369303 4.38268
99 0.0017675 0.0381579 4.42266
100 0.0018046 0.04208 4.46661
101 0.0019412 0.0368581 4.5055
102 0.0018372 0.0374786 4.54487
103 0.0020427 0.0364176 4.58344
104 0.0019857 0.0372358 4.62272
105 0.0019751 0.0367236 4.66147
106 0.0020864 0.0361297 4.69974
107 0.0023221 0.0468391 4.74896
108 0.002381 0.0483262 4.79975
109 0.002675 0.0472783 4.84981
110 0.0030595 0.0429005 4.89584
111 0.0026714 0.0411183 4.93972
112 0.0023842 0.0384914 4.98065
113 0.0038316 0.0456129 5.03018
114 0.0029792 0.0391595 5.07239
115 0.0024062 0.0420861 5.11694
116 0.0032244 0.0400311 5.16028
117 0.0032436 0.0426238 5.20626
118 0.0045753 0.0581826 5.2692
119 0.0035351 0.0552799 5.32808
120 0.0063869 0.0544932 5.38906
121 0.0025417 0.0429604 5.43464
122 0.0024214 0.0378 5.47492
123 0.0027461 0.0443082 5.52204
124 0.0027469 0.0402389 5.56509
125 0.0025228 0.0373735 5.60504
126 0.0025868 0.0441807 5.65187
127 0.0026761 0.038856 5.69346
128 0.0027097 0.0462142 5.74247
129 0.0030405 0.0395389 5.78513
130 0.0034987 0.0377531 5.82644
131 0.0029742 0.0376843 5.86716
132 0.0027891 0.0406401 5.91065
133 0.0030018 0.0382436 5.952
134 0.0046433 0.0413847 5.9981
135 0.002991 0.0393615 6.04052
136 0.0030103 0.0370129 6.08059
137 0.0031227 0.0372566 6.12103
138 0.0031331 0.0445233 6.16875
139 0.0030685 0.0389001 6.21077
140 0.0031136 0.0411 6.25505
141 0.0031919 0.0418479 6.30016
142 0.0032257 0.0381478 6.34159
143 0.0034219 0.0372569 6.38232
144 0.0037357 0.039669 6.4258
145 0.0034808 0.0442703 6.47363
146 0.0044772 0.0382606 6.51643
147 0.0034218 0.0410979 6.561
148 0.0035936 0.0369103 6.60156
149 0.003972 0.0366763 6.64231
150 0.0037358 0.0419838 6.68812
151 0.0036961 0.0391529 6.73102
152 0.0037464 0.0383592 6.77319
153 0.0041799 0.0375609 6.81498
154 0.0038456 0.0384234 6.85731
155 0.0062496 0.037475 6.90111
156 0.0038962 0.0370942 6.94216
157 0.0071756 0.0407466 6.99017
158 0.004363 0.0393439 7.03395
159 0.0040726 0.0449687 7.08305
160 0.00417811 0.0480498 7.13538
161 0.00442591 0.0424183 7.18228
162 0.00482931 0.0376889 7.22486
163 0.00445331 0.0418187 7.27119
164 0.00447601 0.0385874 7.31432
165 0.00445211 0.0371586 7.35599
166 0.00470761 0.0368324 7.39761
167 0.00446251 0.0396849 7.44182
168 0.00460171 0.0420878 7.48871
169 0.00503871 0.0391227 7.53293
170 0.00538241 0.0382941 7.57667
171 0.00522481 0.0380376 7.61999
172 0.00494131 0.0434007 7.66839
173 0.00902482 0.0511382 7.7286
174 0.00506791 0.0384275 7.77215
175 0.00522211 0.0373988 7.81483
176 0.00520681 0.0373682 7.85751
177 0.00522021 0.0372019 7.89999
178 0.00515051 0.0371428 7.94235
179 0.00568761 0.0372496 7.98537
180 0.00797442 0.0389364 8.03234
181 0.00546391 0.0392149 8.07712
182 0.00559211 0.0394632 8.12224
183 0.00575911 0.0388791 8.16694
184 0.00566761 0.0406062 8.21326
185 0.00679181 0.0488413 8.26898
186 0.0195139 0.0481223 8.33669
187 0.00595441 0.0426435 8.38534
188 0.00602561 0.0400913 8.43152
189 0.00674141 0.0382814 8.47668
190 0.00730922 0.0387239 8.52278
191 0.00696191 0.0390119 8.5688
192 0.00660261 0.0495745 8.62509
193 0.00971052 0.0412967 8.67618
