TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
94370210683889 1.55e-05 0.228903 0.231363
94370210683890 7.3e-06 0.0593695 0.290801
94370210683891 9.6e-06 0.056659 0.347524
94370210683892 1.28e-05 0.0504846 0.398077
94370210683893 1.74e-05 0.0488971 0.447048
94370210683894 2.43e-05 0.047463 0.494593
94370210683895 2.61e-05 0.0495198 0.544196
94370210683896 4.02e-05 0.045645 0.589951
94370210683897 3.49e-05 0.0454317 0.635476
94370210683898 5.22e-05 0.0367034 0.672296
94370210683899 6.37e-05 0.0379335 0.71035
94370210683900 6.66e-05 0.0380112 0.748497
94370210683901 5.97e-05 0.0383996 0.787009
94370210683902 7.03e-05 0.0381798 0.825349
94370210683903 8.04e-05 0.041639 0.867124
94370210683904 0.0001539 0.0525506 0.919936
94370210683905 9.46e-05 0.0402633 0.960347
94370210683906 0.0001087 0.0373809 0.997893
94370210683907 0.000114 0.0410235 1.03909
94370210683908 0.0001264 0.0379434 1.07722
94370210683909 0.0001378 0.0379444 1.11536
94370210683910 0.0001514 0.0377697 1.15333
94370210683911 0.0001854 0.0385725 1.19215
94370210683912 0.0002343 0.0500494 1.2425
94370210683913 0.0001341 0.0426298 1.28529
94370210683914 0.0001914 0.0400089 1.32559
94370210683915 0.0003188 0.0370043 1.36299
94370210683916 0.0002661 0.0363769 1.3997
94370210683917 0.0002856 0.0389606 1.43903
94370210683918 0.0002166 0.0367312 1.47603
94370210683919 0.0002047 0.0368945 1.51396
94370210683920 0.0003238 0.0415987 1.55592
94370210683921 0.0002546 0.0365914 1.59282
94370210683922 0.0003056 0.0370362 1.63023
94370210683923 0.000329 0.0371363 1.66778
94370210683924 0.0003111 0.0367254 1.7049
94370210683925 0.0003308 0.0369411 1.74223
94370210683926 0.0003457 0.0363572 1.77899
94370210683927 0.0003293 0.0361017 1.81547
94370210683928 0.0003559 0.0363588 1.85224
94370210683929 0.0003918 0.0368765 1.88957
94370210683930 0.0005531 0.038322 1.9285
94370210683931 0.0004516 0.0366217 1.96563
94370210683932 0.0004558 0.0362096 2.00235
94370210683933 0.000454 0.0362355 2.03909
94370210683934 0.0004646 0.0382008 2.07782
94370210683935 0.0004536 0.0362124 2.11454
94370210683936 0.0005311 0.0423196 2.15748
94370210683937 0.000749 0.0423053 2.20062
94370210683938 0.0005314 0.0386243 2.23983
94370210683939 0.0005333 0.0375444 2.27796
94370210683940 0.0005781 0.0422255 2.32081
94370210683941 0.0008368 0.0377131 2.35942
94370210683942 0.0005537 0.0370351 2.39709
94370210683943 0.0006016 0.0363189 2.43407
94370210683944 0.0006334 0.0359842 2.47074
94370210683945 0.0006555 0.0376738 2.50913
94370210683946 0.0006696 0.0365694 2.54643
94370210683947 0.0006879 0.0362344 2.5834
94370210683948 0.0009875 0.0387771 2.62324
94370210683949 0.0007017 0.0359775 2.65997
94370210683950 0.0007118 0.0369555 2.6977
94370210683951 0.0007634 0.0367403 2.73526
94370210683952 0.000731699 0.0369517 2.77304
94370210683953 0.0007902 0.0366949 2.81059
94370210683954 0.0007551 0.0374654 2.84887
94370210683955 0.0008136 0.0363246 2.88606
94370210683956 0.0008571 0.0374861 2.92446
94370210683957 0.0009578 0.0408884 2.96636
94370210683958 0.0008633 0.037648 3.00493
94370210683959 0.0008918 0.0375162 3.04339
94370210683960 0.0009596 0.0382813 3.08268
94370210683961 0.0009686 0.0380207 3.12173
94370210683962 0.001023 0.0366368 3.15945
94370210683963 0.0010141 0.0376723 3.19819
94370210683964 0.00132 0.0376745 3.23727
94370210683965 0.001042 0.0369292 3.27529
94370210683966 0.001071 0.0365971 3.31302
94370210683967 0.0011019 0.0393788 3.35357
94370210683968 0.0015312 0.0473788 3.40263
94370210683969 0.0012808 0.0462462 3.45022
94370210683970 0.0017138 0.0457901 3.4978
94370210683971 0.0013888 0.039176 3.53842
94370210683972 0.0013678 0.0403377 3.58019
94370210683973 0.0013545 0.0527392 3.63432
94370210683974 0.0014274 0.0490263 3.68482
94370210683975 0.0015847 0.0406099 3.72709
94370210683976 0.0022116 0.0432395 3.77268
94370210683977 0.0016688 0.0412303 3.81565
94370210683978 0.00169 0.0508569 3.86827
94370210683979 0.0023501 0.0525208 3.92321
94370210683980 0.0025319 0.0444289 3.97025
