TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 0.0010053 0.824353 0.878649
2 0.0006728 0.0292033 0.960066
3 0.0001598 0.14008 1.15052
4 0.0001505 0.0266953 1.22758
5 0.0001645 0.0232771 1.30119
6 0.0001319 0.0265525 1.37808
7 0.0001717 0.018507 1.44693
8 0.0001453 0.0206765 1.518
9 0.0001369 0.0213207 1.58964
10 0.0001692 0.0257472 1.66606
11 0.0003595 0.0225368 1.73937
12 0.00026 0.0229658 1.81276
13 0.0001184 0.0590297 1.92207
14 0.0002302 0.0231537 1.99568
15 0.0002604 0.0210787 2.06735
16 0.0001949 0.0204109 2.13818
17 0.0002043 0.0176346 2.21222
18 0.0001796 0.018768 2.28146
19 0.0004529 0.0340549 2.36626
20 0.0002683 0.0208972 2.43762
21 0.0002685 0.026494 2.51472
22 0.0002023 0.0265906 2.59172
23 0.0002304 0.0240052 2.6664
24 0.0002979 0.0163669 2.73349
25 0.0002214 0.0185803 2.80262
26 0.000218 0.0159736 2.86912
27 0.0001797 0.0161745 2.93668
28 0.0002399 0.0318084 3.0189
29 0.0002067 0.0196062 3.0891
30 0.0001888 0.0144707 3.15395
31 0.0003476 0.0195892 3.22419
32 0.0003087 0.0181876 3.29307
33 0.0003819 0.0179868 3.3616
34 0.0002855 0.017401 3.4296
35 0.0003768 0.017596 3.49773
36 0.0002877 0.0154662 3.56371
37 0.0002981 0.0201031 3.63431
38 0.000303 0.0174847 3.70227
39 0.0004209 0.0413158 3.79422
40 0.0005902 0.0154926 3.8605
41 0.0003921 0.0150865 3.92618
42 0.0003442 0.0149083 3.99164
43 0.0003293 0.0155415 4.05771
44 0.000395 0.0193168 4.12761
45 0.000633 0.0209419 4.19951
46 0.0005421 0.0178495 4.26816
47 0.0005105 0.0167875 4.33566
48 0.0005465 0.0162452 4.40268
49 0.0004236 0.0150773 4.46837
50 0.0004412 0.0189167 4.53811
51 0.0005797 0.0175773 4.60644
52 0.0006554 0.022288 4.67972
53 0.0004571 0.0219556 4.75247
54 0.0005637 0.0174346 4.82071
55 0.0007955 0.0244461 4.89633
56 0.0032206 0.0262895 4.97612
57 0.0005303 0.0290688 5.05588
58 0.0005443 0.0206453 5.12732
59 0.0009837 0.026031 5.20452
60 0.0009514 0.0189833 5.2747
61 0.0006918 0.0231796 5.3488
62 0.0007327 0.0225723 5.42234
63 0.0008192 0.0246948 5.49804
64 0.0007351 0.0196294 5.56862
65 0.0007108 0.017035 5.63661
66 0.001188 0.0178251 5.70577
67 0.0010518 0.017894 5.77488
68 0.0009018 0.0191689 5.84516
69 0.0012576 0.0169784 5.91366
70 0.0009159 0.0163132 5.98108
71 0.0012565 0.0230411 6.0557
72 0.0011924 0.0148803 6.12201
73 0.0012987 0.0668465 6.32816
74 0.0024856 0.0369171 6.4178
75 0.000827 0.0410725 6.50991
76 0.0011874 0.0231332 6.58443
77 0.0008688 0.0206422 6.65611
78 0.0012763 0.0546439 6.76221
79 0.0009632 0.187265 7.00098
80 0.001726 0.029897 7.08318
81 0.0015197 0.0365002 7.17153
82 0.001167 0.0205333 7.24339
83 0.0015563 0.0287806 7.32426
84 0.002377 0.0332565 7.41039
85 0.0015333 0.0298837 7.49196
86 0.0016738 0.0316693 7.57564
87 0.0014013 0.0286962 7.65595
88 0.0017663 0.0454608 7.75336
89 0.0011421 0.0221333 7.82677
90 0.0017808 0.036899 7.91561
91 0.0018524 0.0242997 7.99192
92 0.0013979 0.022707 8.06615
93 0.0019529 0.0239743 8.14225
94 0.001931 0.0296072 8.22409
95 0.0012365 0.0334332 8.30891
96 0.0013116 0.0199429 8.38061
97 0.0019257 0.0284563 8.46116
98 0.0029374 0.0284584 8.54282
99 0.0019068 0.0189061 8.61385
100 0.0029319 0.0279521 8.69492
101 0.0030851 0.0257011 8.77399
102 0.0022128 0.0161002 8.84244
103 0.0024541 0.0254269 8.92057
104 0.0017434 0.0156391 9.02261
105 0.0021876 0.0284715 9.10355
106 0.0023384 0.0210702 9.17716
107 0.0039341 0.0185382 9.24983
108 0.0035738 0.0282896 9.33187
109 0.0028977 0.0317049 9.41672
110 0.0020768 0.0191579 9.48824
111 0.00213 0.0193386 9.55995
112 0.0032202 0.0277619 9.64129
113 0.002193 0.0162915 9.70998
114 0.0041727 0.0287438 9.79306
115 0.003644 0.0237791 9.87077
116 0.0026537 0.0180774 9.94176
117 0.0027512 0.0199065 10.0146
118 0.0041541 0.0481171 10.1171
119 0.0025973 0.0188497 10.2257
120 0.0035121 0.0195075 10.2991
121 0.0034667 0.019715 10.3725
122 0.0047386 0.0284674 10.4558
123 0.0026521 0.017931 10.5266
124 0.0054851 0.0213727 10.6038
125 0.0034985 0.0284988 10.6861
126 0.0028793 0.0165546 10.7772
127 0.0041178 0.0448464 10.9128
128 0.0045645 0.0166309 10.9842
129 0.0039196 0.0216401 11.06
130 0.0054334 0.0246556 11.1403
131 0.0084098 0.0246478 11.2236
132 0.0048103 0.0192795 11.2979
133 0.0061748 0.0290781 11.3834
134 0.0063273 0.0225251 11.4625
135 0.0054392 0.030648 11.5488
136 0.0066799 0.0282876 11.6339
137 0.0034967 0.0173198 11.7049
138 0.0094666 0.0264773 11.791
139 0.0032883 0.0220951 11.8666
140 0.0064539 0.0291765 11.9525
141 0.0057743 0.0270381 12.0355
142 0.0051164 0.0194761 12.1103
143 0.0108544 0.023323 12.1948
144 0.0071961 0.0316529 12.2839
145 0.0035083 0.0171578 12.3551
146 0.0054545 0.0236673 12.4345
147 0.0040159 0.030765 12.5195
148 0.0054964 0.0273786 12.603
149 0.0047269 0.0196932 12.6777
150 0.0054899 0.025645 12.7589
151 0.0074536 0.0266808 12.8433
152 0.0101588 0.0454753 12.9494
153 0.0044387 0.023398 13.0274
154 0.006287 0.0282577 13.1121
155 0.0051313 0.0173386 13.1849
156 0.0097813 0.0221801 13.267
157 0.0113019 0.0233737 13.3521
158 0.0057849 0.0189067 13.4272
159 0.0116219 0.0224687 13.5115
160 0.0047137 0.0248539 13.5912
161 0.0069951 0.0251221 13.6737
162 0.0099276 0.0356641 13.7697
163 0.0070945 0.034697 13.8618
164 0.0106538 0.0198834 13.9425
165 0.0093925 0.0239076 14.0259
166 0.0133583 0.0331723 14.1227
167 0.0098477 0.0255133 14.2083
168 0.0106834 0.0491793 14.3183
169 0.0176568 0.0339734 14.4201
170 0.0195547 0.0469727 14.5368
171 0.0063127 0.0274215 14.6207
172 0.0064629 0.0261638 14.704
173 0.0059175 0.0241304 14.7846
174 0.006771 0.021055 14.8628
175 0.0071258 0.0263112 14.9467
176 0.0128574 0.0393306 15.103
177 0.0060477 0.0266307 15.1858
178 0.0185027 0.0292185 15.2837
179 0.0067279 0.0200775 15.3607
180 0.0101837 0.0259048 15.4474
181 0.0225862 0.0388478 15.5591
182 0.0095026 0.0186736 15.6491
183 0.0191835 0.0379888 15.7567
184 0.0173656 0.0366853 15.8611
185 0.0070157 0.0237596 15.9421
186 0.0122339 0.0251163 16.0296
187 0.0229596 0.0467195 16.1495
188 0.0083867 0.0204863 16.2285
189 0.0145627 0.0218509 16.3152
190 0.0215075 0.02103 16.408
191 0.009169 0.020737 16.4881
192 0.0217653 0.0258055 16.5859
193 0.0123908 0.0192137 16.6677
194 0.0187474 0.0207859 16.7574
195 0.016759 0.028046 16.8524
196 0.0183837 0.0294133 16.9504
197 0.0133963 0.0228592 17.0368
198 0.0098741 0.0223298 17.1192
199 0.0138913 0.0420192 17.2252
200 0.0218171 0.0253359 17.3226
201 0.0096613 0.0221751 17.4046
202 0.0096192 0.0313357 17.4957
203 0.0166586 0.0236654 17.5862
204 0.0115111 0.0274876 17.6755
205 0.0170912 0.0527094 17.7955
206 0.0395593 0.0846412 17.9699
207 0.0284472 0.0454506 18.094
208 0.0129658 0.0528341 18.2104
209 0.0639502 0.0987153 18.4241
210 0.0440318 0.0503931 18.5689
211 0.0188073 0.0521978 18.69
