TimeStep Temps_Update Temps_Display Temps_Total
0 0.190393 0.0285878 0.0287637
1 0.0308965 0.00715638 0.138328
2 0.00730028 0.00707818 0.24565
3 0.00720858 0.00754759 0.353431
4 0.00769107 0.00690365 0.460583
5 0.00702363 0.00734897 0.568158
6 0.00746337 0.00650401 0.674891
7 0.00661426 0.00645595 0.781571
8 0.00658039 0.00642821 0.888242
9 0.00652848 0.00641666 0.994882
10 0.00652765 0.00705504 1.10218
11 0.00715458 0.00712116 1.20954
12 0.00746819 0.00701106 1.31705
13 0.00709603 0.00685946 1.42415
14 0.00697518 0.0071212 1.53156
15 0.00721355 0.00697804 1.6388
16 0.00704532 0.00721962 1.74627
17 0.00730736 0.00669572 1.85324
18 0.0067509 0.00702559 1.96052
19 0.00684411 0.00699521 2.06778
20 0.00704651 0.00697384 2.17502
21 0.00698616 0.00698136 2.28224
22 0.00699223 0.00700784 2.38949
23 0.00706589 0.00698282 2.49676
24 0.00700023 0.0069328 2.60396
25 0.00695005 0.00665687 2.71088
26 0.00665135 0.00745847 2.8186
27 0.00746266 0.00674424 2.92561
28 0.00673989 0.00727775 3.03316
29 0.00724704 0.00728412 3.14069
30 0.0072313 0.00726732 3.24821
31 0.00722833 0.00723945 3.35571
32 0.00718761 0.00683891 3.46283
33 0.00677431 0.00678154 3.56986
34 0.00670814 0.00710455 3.67722
35 0.00702746 0.00703963 3.78453
36 0.00658467 0.00726495 3.89206
37 0.00716615 0.00720661 3.99953
38 0.00709823 0.00681887 4.10661
39 0.00672715 0.00685177 4.21374
40 0.00673498 0.00704965 4.32106
41 0.00692392 0.00700607 4.42833
42 0.00687885 0.00703825 4.53565
43 0.00687644 0.00680963 4.6427
44 0.00665039 0.00709956 4.75005
45 0.00694336 0.0069988 4.85732
46 0.00683202 0.00659512 4.96419
47 0.00641038 0.00685761 5.0713
48 0.00667656 0.00705043 5.17862
49 0.00684584 0.0070007 5.28588
50 0.00676594 0.00675971 5.39288
51 0.00651367 0.00693661 5.50007
52 0.00668755 0.00692126 5.60725
53 0.00667035 0.00672679 5.71425
54 0.00648558 0.00690645 5.82143
55 0.00663608 0.00696054 5.92865
56 0.00642057 0.00688333 6.03579
57 0.00656885 0.00691969 6.14296
58 0.00659288 0.00668226 6.24989
59 0.00634117 0.0068545 6.35699
60 0.00651675 0.00708058 6.46433
61 0.006761 0.00702376 6.57164
62 0.00669367 0.00705532 6.67896
63 0.00668393 0.00671398 6.78593
64 0.00634143 0.00682966 6.89302
65 0.00639381 0.00679561 7.00008
66 0.00636857 0.00710459 7.10745
67 0.00667181 0.00695766 7.21467
68 0.00651666 0.00706362 7.32199
69 0.00659729 0.00702017 7.42927
70 0.00656008 0.00708144 7.53663
71 0.00661183 0.00697007 7.64384
72 0.00636991 0.0067536 7.75083
73 0.00590933 0.00704343 7.85813
74 0.00651065 0.00692112 7.9653
75 0.00592352 0.00696449 8.07254
76 0.00640781 0.00697159 8.17976
77 0.00639986 0.00696904 8.28697
78 0.00638953 0.00669645 8.39391
79 0.00613013 0.0069236 8.50111
80 0.00631605 0.00720288 8.60857
81 0.00659606 0.00696129 8.7158
82 0.00633599 0.00692037 8.82296
83 0.00626345 0.00681287 8.93002
84 0.00614246 0.00684262 9.03711
85 0.00616478 0.00722848 9.14459
86 0.00654581 0.00678645 9.25163
87 0.00561204 0.00685924 9.35874
88 0.00616553 0.00704288 9.46607
89 0.00628403 0.00681255 9.57312
90 0.00608624 0.00705536 9.68044
91 0.0063004 0.00662138 9.7873
92 0.00590631 0.00661207 9.89417
93 0.00593151 0.00584988 10.0003
94 0.00519542 0.00567018 10.1062
95 0.0050438 0.00580951 10.2122
96 0.00486123 0.00565228 10.3181
97 0.00506912 0.00541766 10.4238
98 0.00480684 0.00538019 10.5294
99 0.00477295 0.00534077 10.635
100 0.00469093 0.00543363 10.7406
101 0.00480981 0.00527641 10.8461
102 0.0041136 0.00532051 10.9517
103 0.00463782 0.0053132 11.0572
104 0.00460652 0.00523909 11.1627
105 0.00454962 0.00552434 11.2685
106 0.00478489 0.00552426 11.3742
107 0.00476714 0.00541612 11.4799
108 0.00455381 0.0055043 11.5856
109 0.0047455 0.00548599 11.6913
110 0.00470024 0.00534528 11.7969
111 0.00453987 0.00523611 11.9024
112 0.00445373 0.00519374 12.0078
113 0.00436534 0.00517778 12.1132
114 0.00433639 0.00527975 12.2187
115 0.00440473 0.00521126 12.3242
116 0.0043152 0.00517809 12.4296
117 0.00430666 0.00523445 12.535
118 0.00429829 0.00528628 12.6406
119 0.00430237 0.00543903 12.7462
120 0.00446872 0.00540656 12.8518
121 0.00445283 0.00538393 12.9575
122 0.00408033 0.00536529 13.0631
123 0.00432494 0.00536257 13.1687
124 0.00430464 0.00538039 13.2743
125 0.00436474 0.00534722 13.3799
126 0.00428593 0.00558622 13.4857
127 0.0044956 0.00556534 13.5915
128 0.00448489 0.00554139 13.6973
129 0.00441598 0.00565632 13.8032
130 0.00452806 0.00550676 13.9089
131 0.00432656 0.00534817 14.0145
132 0.00415844 0.00561373 14.1204
133 0.00443347 0.00539362 14.226
134 0.00417373 0.00518282 14.3314
135 0.00393016 0.00550981 14.4371
136 0.00424961 0.00540525 14.5428
137 0.00413218 0.00506632 14.6481
138 0.0037669 0.00544069 14.7537
139 0.00413006 0.00538956 14.8593
140 0.00405504 0.00530674 14.9649
141 0.00397975 0.00545919 15.0706
142 0.00406809 0.00538002 15.1762
143 0.00401261 0.00516878 15.2816
144 0.00333686 0.0053929 15.3872
145 0.00369271 0.00541725 15.4929
146 0.00398387 0.00527794 15.5984
147 0.00379709 0.00520578 15.7038
148 0.00373135 0.00538401 15.8094
149 0.00386602 0.00523746 15.9149
150 0.00328426 0.00541591 16.0206
151 0.00361982 0.00547125 16.1263
152 0.00392258 0.00542045 16.2319
153 0.00384324 0.00539067 16.3375
154 0.00379408 0.00515805 16.4429
155 0.0035449 0.00541375 16.5486
156 0.00377351 0.00549507 16.6543
157 0.00380212 0.0054921 16.76
158 0.00362609 0.00545049 16.8657
159 0.00363434 0.00541373 16.9714
160 0.00368623 0.00551183 17.0771
161 0.00374411 0.00545375 17.1828
162 0.00369766 0.00572877 17.2888
163 0.00391704 0.00542103 17.3945
164 0.00365497 0.00554222 17.5002
165 0.00368979 0.00558895 17.606
