TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
135951041488622 0.00276272 0.00436829 0.0584257
135951041488623 1.4882e-05 0.00044128 0.109306
135951041488624 2.1237e-05 0.000628085 0.16024
135951041488625 2.8443e-05 0.000701391 0.211251
135951041488626 0.000344183 0.00115707 0.263068
135951041488627 0.000119099 0.00135684 0.315239
135951041488628 0.00011459 0.0012062 0.366932
135951041488629 0.000107819 0.00142937 0.419179
135951041488630 0.000141084 0.00140424 0.471477
135951041488631 0.000162251 0.00146923 0.523332
135951041488632 0.000354347 0.00141019 0.575355
135951041488633 0.00044676 0.00168096 0.627758
135951041488634 0.000245521 0.0014165 0.679682
135951041488635 0.000267911 0.00135187 0.731538
135951041488636 0.000302588 0.00138493 0.783917
135951041488637 0.000400248 0.00135406 0.836376
135951041488638 0.000481647 0.00176553 0.888879
135951041488639 0.000499665 0.00170309 0.941325
135951041488640 0.000564302 0.00219713 0.99522
135951041488641 0.000788487 0.00776904 1.05405
135951041488642 0.000824859 0.00395273 1.1091
135951041488643 0.000986906 0.00614713 1.1665
135951041488644 0.000700096 0.00176108 1.21962
135951041488645 0.000754342 0.00153167 1.27259
135951041488646 0.00093755 0.00151077 1.32569
135951041488647 0.000930962 0.00148633 1.3788
135951041488648 0.000968978 0.00152161 1.43199
135951041488649 0.00111081 0.00187459 1.48567
135951041488650 0.0010808 0.0016243 1.53906
135951041488651 0.00114359 0.00163693 1.59252
135951041488652 0.00116718 0.00184476 1.64622
135951041488653 0.00117627 0.00198348 1.7001
135951041488654 0.00150147 0.00205067 1.7542
135951041488655 0.00131275 0.00197692 1.80822
135951041488656 0.00132618 0.00205021 1.86219
135951041488657 0.0014139 0.00211435 1.91646
135951041488658 0.00143906 0.00222629 1.97081
135951041488659 0.0016499 0.00237962 2.02552
135951041488660 0.00168097 0.00241066 2.07997
135951041488661 0.00161437 0.00244903 2.13473
135951041488662 0.00174612 0.00262666 2.18939
135951041488663 0.00231248 0.00264653 2.24503
135951041488664 0.00201778 0.00278138 2.30051
135951041488665 0.00197779 0.00291796 2.3561
135951041488666 0.00201421 0.00309858 2.4117
135951041488667 0.00214924 0.00307131 2.46719
135951041488668 0.00230532 0.00341678 2.52324
135951041488669 0.00241768 0.0034214 2.57941
135951041488670 0.00245761 0.00352118 2.63569
135951041488671 0.00323317 0.00444765 2.69406
135951041488672 0.00253457 0.00364641 2.75051
135951041488673 0.0036302 0.00561323 2.81003
135951041488674 0.00258261 0.00345985 2.86635
135951041488675 0.00261911 0.0040071 2.92325
135951041488676 0.00252345 0.00404825 2.98013
135951041488677 0.002648 0.00388555 3.03709
135951041488678 0.00260296 0.00395409 3.09419
135951041488679 0.00282873 0.0063475 3.15362
135951041488680 0.0026776 0.00419306 3.2113
135951041488681 0.00477532 0.0110411 3.27734
135951041488682 0.00461009 0.00938308 3.34362
135951041488683 0.00364974 0.0111174 3.40861
135951041488684 0.00500234 0.00784225 3.47175
135951041488685 0.00313047 0.00539974 3.53051
135951041488686 0.00458387 0.00741096 3.59277
135951041488687 0.0036532 0.00564007 3.65238
135951041488688 0.00347278 0.00684275 3.71291
135951041488689 0.00273721 0.00450543 3.77041
135951041488690 0.00335327 0.00514202 3.82918
135951041488691 0.00341445 0.00555793 3.88841
135951041488692 0.00428797 0.00753212 3.9505
135951041488693 0.00382389 0.0068642 4.01232
135951041488694 0.00728714 0.0219725 4.09184
135951041488695 0.00870164 0.0291423 4.17993
135951041488696 0.00771373 0.0157995 4.25366
135951041488697 0.00143045 0.00653106 4.31176
135951041488698 0.00150512 0.00349746 4.36689
135951041488699 0.00122733 0.00190452 4.42063
135951041488700 0.00290313 0.00457085 4.47879
135951041488701 0.00284193 0.00456309 4.53687
135951041488702 0.00292465 0.00478886 4.59525
135951041488703 0.00281092 0.00462475 4.65341
135951041488704 0.00290409 0.0047256 4.71134
135951041488705 0.00497125 0.00906091 4.77563
135951041488706 0.0028876 0.00468613 4.83362
135951041488707 0.00294516 0.00455305 4.8918
135951041488708 0.00308416 0.00789493 4.95301
135951041488709 0.00474684 0.00793267 5.0164
135951041488710 0.00306092 0.00443416 5.07417
135951041488711 0.00302314 0.00472182 5.13222
135951041488712 0.00298034 0.00444695 5.18994
135951041488713 0.00296909 0.00663718 5.24977
135951041488714 0.00278557 0.00669907 5.30994
135951041488715 0.00299922 0.00668028 5.37033
135951041488716 0.00294113 0.00649968 5.43046
135951041488717 0.00293225 0.0065864 5.49063
135951041488718 0.00297082 0.0066067 5.5509
135951041488719 0.00300838 0.00666364 5.61125
135951041488720 0.00275206 0.0067548 5.67109
135951041488721 0.0029621 0.0067611 5.73104
135951041488722 0.0034005 0.00678551 5.79177
135951041488723 0.00288873 0.00451228 5.84982
135951041488724 0.00310866 0.00449948 5.90811
135951041488725 0.00277095 0.00447593 5.96563
135951041488726 0.00302077 0.00674852 6.02608
135951041488727 0.00294889 0.00670297 6.08642
135951041488728 0.00286785 0.00664069 6.14661
135951041488729 0.00291696 0.00689783 6.20671
135951041488730 0.00296235 0.00677965 6.26669
135951041488731 0.00324394 0.0046607 6.3253
135951041488732 0.0030352 0.004445 6.38347
135951041488733 0.0029073 0.00456042 6.44162
135951041488734 0.00283011 0.00455101 6.49969
135951041488735 0.00297408 0.00462005 6.55751
135951041488736 0.0041534 0.0109064 6.62288
135951041488737 0.00343871 0.00507962 6.68163
135951041488738 0.00294179 0.00449381 6.73975
135951041488739 0.00311459 0.00444262 6.79799
135951041488740 0.00290714 0.00446173 6.85603
135951041488741 0.00318015 0.00441337 6.91431
135951041488742 0.00298003 0.00446527 6.97243
135951041488743 0.00309698 0.00447641 7.03071
135951041488744 0.003021 0.00445237 7.08842
135951041488745 0.00414001 0.00598267 7.14882
135951041488746 0.00279245 0.00457597 7.20687
135951041488747 0.00308671 0.00443733 7.26494
135951041488748 0.00291602 0.00436949 7.32288
135951041488749 0.0031562 0.00442866 7.38114
135951041488750 0.00273727 0.00453327 7.43874
135951041488751 0.00351997 0.00554724 7.4985
135951041488752 0.00292423 0.0044835 7.55636
135951041488753 0.00347433 0.00469394 7.61481
135951041488754 0.00282881 0.00464639 7.67251
135951041488755 0.00294689 0.00456856 7.73072
135951041488756 0.00329646 0.00488856 7.78961
135951041488757 0.00293656 0.00448436 7.84732
135951041488758 0.00289683 0.00462704 7.90553
135951041488759 0.00298203 0.00448301 7.96329
135951041488760 0.00380611 0.00619832 8.024
135951041488761 0.00313889 0.0044237 8.08225
135951041488762 0.00299675 0.00463744 8.14023
135951041488763 0.00336025 0.00565498 8.2
135951041488764 0.00282763 0.00686168 8.26038
135951041488765 0.00309142 0.0059364 8.3201
135951041488766 0.00294387 0.00655365 8.37987
135951041488767 0.00303737 0.00668322 8.44031
135951041488768 0.00299606 0.00770424 8.50131
135951041488769 0.00421689 0.00683168 8.5626
135951041488770 0.00368241 0.00608237 8.62533
135951041488771 0.00841667 0.0256916 8.71233
135951041488772 0.0159186 0.0212582 8.79975
135951041488773 0.00965817 0.0152721 8.87489
135951041488774 0.00364707 0.00293912 8.93182
135951041488775 0.00874319 0.00670864 8.9974
135951041488776 0.0011008 0.0022347 9.0509
135951041488777 0.000935778 0.00222083 9.10422
135951041488778 0.00108443 0.00227701 9.15776
135951041488779 0.00104359 0.00221586 9.21115
135951041488780 0.00327522 0.00317079 9.26776
135951041488781 0.00103732 0.00176862 9.32082
135951041488782 0.00141562 0.00248381 9.37485
135951041488783 0.000994733 0.00143277 9.42739
135951041488784 0.00127172 0.0018898 9.48076
135951041488785 0.00308604 0.00456442 9.5391
135951041488786 0.0029459 0.00452489 9.59698
135951041488787 0.0030556 0.00444239 9.65471
135951041488788 0.004269 0.0109989 9.72022
135951041488789 0.00424568 0.00756763 9.78233
135951041488790 0.00423906 0.00744037 9.84422
135951041488791 0.00132881 0.00252948 9.89822
135951041488792 0.00134187 0.00239292 9.95214
135951041488793 0.00101158 0.00148673 10.0048
135951041488794 0.00125992 0.00247102 10.0587
135951041488795 0.00121735 0.00443368 10.1145
135951041488796 0.00124655 0.00239831 10.1683
135951041488797 0.00141649 0.00261802 10.2224
135951041488798 0.000929884 0.00150083 10.2751
135951041488799 0.001531 0.00227721 10.3295
135951041488800 0.00302246 0.00495596 10.3879
135951041488801 0.00365998 0.00776022 10.45
135951041488802 0.00275285 0.00465512 10.5081
135951041488803 0.00297707 0.0045781 10.5661
135951041488804 0.00280853 0.00479148 10.6244
135951041488805 0.00289206 0.00452737 10.6821
135951041488806 0.00348828 0.00763127 10.7434
135951041488807 0.00269438 0.00698117 10.8038
135951041488808 0.00290015 0.00674508 10.8641
135951041488809 0.00276149 0.00685335 10.9244
135951041488810 0.00296453 0.00457596 10.9822
135951041488811 0.00277642 0.00461149 11.0403
135951041488812 0.00276136 0.0052315 11.099
135951041488813 0.00289339 0.00498783 11.1576
135951041488814 0.00281648 0.00481441 11.2159
135951041488815 0.00283839 0.00463904 11.2741
135951041488816 0.00299607 0.00449916 11.3322
135951041488817 0.00277432 0.00461918 11.3904
135951041488818 0.00288694 0.00460039 11.4481
135951041488819 0.00274499 0.00688586 11.5085
135951041488820 0.00287303 0.00452092 11.5666
135951041488821 0.00279012 0.00456482 11.6244
135951041488822 0.00275528 0.00454925 11.682
135951041488823 0.00270522 0.0046483 11.74
135951041488824 0.00278126 0.00466403 11.7982
135951041488825 0.00321364 0.00840224 11.8605
135951041488826 0.00291014 0.00702324 11.9212
135951041488827 0.00280802 0.00672459 11.981
135951041488828 0.0029613 0.00665625 12.0413
135951041488829 0.00266676 0.0068943 12.1016
135951041488830 0.00285869 0.00676387 12.1614
135951041488831 0.00362816 0.00838828 12.2237
135951041488832 0.00366497 0.00824803 12.2859
135951041488833 0.00409076 0.00781907 12.3485
135951041488834 0.00281892 0.00694122 12.4085
135951041488835 0.00335961 0.00740285 12.4699
135951041488836 0.00283774 0.00675203 12.5302
135951041488837 0.00272701 0.00680314 12.5905
135951041488838 0.00282757 0.00676646 12.6504
135951041488839 0.00272328 0.00681631 12.7106
135951041488840 0.00280301 0.00667394 12.7703
135951041488841 0.00284462 0.00678452 12.8306
135951041488842 0.00397813 0.00927895 12.8946
135951041488843 0.00309494 0.00464804 12.9526
135951041488844 0.00351134 0.00684325 13.0134
135951041488845 0.0031496 0.00477103 13.072
135951041488846 0.00295037 0.0045313 13.1301
135951041488847 0.00276517 0.00485711 13.1881
135951041488848 0.00275124 0.00453788 13.246
135951041488849 0.00277331 0.00468089 13.3038
135951041488850 0.00274235 0.00447492 13.3616
135951041488851 0.00275125 0.0044961 13.4192
135951041488852 0.00279214 0.00488621 13.4776
135951041488853 0.00272218 0.00675167 13.5377
135951041488854 0.00275324 0.00676985 13.5975
135951041488855 0.00299012 0.00695196 13.6577
135951041488856 0.00299039 0.00695267 13.7179
135951041488857 0.00270345 0.00685863 13.7781
135951041488858 0.00268543 0.00682753 13.8379
135951041488859 0.00274826 0.00674029 13.8979
135951041488860 0.00274965 0.00676081 13.9581
135951041488861 0.00343205 0.00695134 14.0188
135951041488862 0.00262352 0.00679017 14.0786
135951041488863 0.00296334 0.00668516 14.1386
135951041488864 0.00267096 0.00739027 14.199
135951041488865 0.00389142 0.00745605 14.2606
135951041488866 0.00253141 0.00472097 14.3185
135951041488867 0.00275583 0.00457147 14.3761
135951041488868 0.00261364 0.00464213 14.434
135951041488869 0.00273715 0.0045717 14.492
135951041488870 0.00265418 0.0045755 14.5494
135951041488871 0.00270001 0.00454336 14.6073
135951041488872 0.00262327 0.00463002 14.6653
135951041488873 0.00273525 0.00688667 14.7252
135951041488874 0.00255691 0.00467016 14.7832
135951041488875 0.00283527 0.00466526 14.841
135951041488876 0.0024654 0.00462761 14.8988
135951041488877 0.00285122 0.00447292 14.9568
135951041488878 0.00309854 0.00796519 15.0185
135951041488879 0.00299845 0.00675852 15.0786
135951041488880 0.00261664 0.00674926 15.1383
135951041488881 0.00276759 0.00689187 15.1982
135951041488882 0.00264315 0.00685306 15.2585
135951041488883 0.00266047 0.00663625 15.3184
135951041488884 0.00252439 0.00681213 15.3785
135951041488885 0.00270682 0.00670877 15.4382
135951041488886 0.00268857 0.00674675 15.4983
135951041488887 0.00266804 0.00667564 15.5584
135951041488888 0.0025813 0.0068206 15.6184
135951041488889 0.00303474 0.00672716 15.6789
135951041488890 0.0025292 0.00689391 15.739
135951041488891 0.0026637 0.00678636 15.7991
135951041488892 0.00257453 0.00690993 15.8593
135951041488893 0.00271676 0.00668985 15.9194
